bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
100916,1,1.84,1.84,14.0,14.0
100923,1,1.18,1.18,8.0,8.0
100924,1,0.24,0.24,4.0,4.0
100930,2,7.79,3.89,50.0,25.0
100937,1,5.97,5.97,39.0,39.0
100944,1,2.0,2.0,14.0,14.0
100948,1,2.08,2.08,15.0,15.0
100949,1,0.94,0.94,10.0,10.0
100952,1,0.67,0.67,11.0,11.0
100969,2,7.25,3.62,57.0,28.5
100973,3,2.11,0.7,14.0,4.67
100979,1,1.07,1.07,10.0,10.0
100982,4,7.44,1.86,72.0,18.0
100984,1,5.56,5.56,75.0,75.0
100986,1,0.67,0.67,7.0,7.0
100988,1,0.15,0.15,74.0,74.0
100989,1,1.45,1.45,35.0,35.0
100990,1,0.59,0.59,8.0,8.0
100991,1,1.01,1.01,8.0,8.0
100995,2,0.39,0.19,60.0,30.0
101000,1,1.6,1.6,17.0,17.0
101002,1,1.17,1.17,9.0,9.0
101008,3,4.81,1.6,31.0,10.33
101013,2,1.84,0.92,20.0,10.0
101015,1,0.91,0.91,7.0,7.0
101018,2,1.1,0.55,11.0,5.5
101019,1,1.97,1.97,16.0,16.0
101029,1,1.59,1.59,18.0,18.0
101033,1,0.77,0.77,5.0,5.0
101036,1,1.52,1.52,10.0,10.0
101043,3,2.84,0.95,97.0,32.33
101048,1,0.66,0.66,9.0,9.0
101051,1,2.42,2.42,26.0,26.0
101054,1,1.62,1.62,16.0,16.0
101055,1,1.93,1.93,16.0,16.0
101056,4,6.27,1.57,48.0,12.0
101060,1,2.4,2.4,22.0,22.0
101061,2,1.91,0.95,33.0,16.5
101063,1,0.58,0.58,4.0,4.0
101064,3,6.73,2.24,65.0,21.67
101066,1,0.83,0.83,7.0,7.0
101068,3,1.66,0.55,20.0,6.67
101073,1,4.15,4.15,29.0,29.0
101074,1,0.44,0.44,4.0,4.0
101076,1,0.58,0.58,5.0,5.0
101088,1,3.68,3.68,30.0,30.0
101091,1,1.0,1.0,6.0,6.0
101101,1,0.77,0.77,16.0,16.0
101104,4,2.5,0.62,18.0,4.5
101105,1,1.06,1.06,23.0,23.0
101113,1,2.02,2.02,19.0,19.0
101114,1,1.25,1.25,28.0,28.0
101116,1,1.16,1.16,9.0,9.0
101118,1,0.35,0.35,4.0,4.0
101127,1,0.72,0.72,9.0,9.0
101130,1,2.11,2.11,21.0,21.0
101137,2,1.1,0.55,10.0,5.0
101138,1,0.87,0.87,20.0,20.0
101142,1,2.67,2.67,22.0,22.0
101149,1,1.4,1.4,13.0,13.0
101152,1,1.71,1.71,16.0,16.0
101159,2,0.88,0.44,43.0,21.5
101161,1,2.32,2.32,13.0,13.0
101164,2,1.34,0.67,15.0,7.5
101165,1,0.66,0.66,5.0,5.0
101166,1,1.16,1.16,12.0,12.0
101168,1,1.96,1.96,21.0,21.0
101170,1,5.65,5.65,52.0,52.0
101171,1,1.63,1.63,14.0,14.0
101175,2,2.03,1.01,19.0,9.5
101183,1,0.72,0.72,14.0,14.0
101184,1,0.45,0.45,16.0,16.0
101187,1,0.74,0.74,12.0,12.0
101190,1,1.2,1.2,7.0,7.0
101192,1,2.89,2.89,22.0,22.0
101199,3,2.2,0.73,42.0,14.0
101202,1,2.25,2.25,48.0,48.0
101203,1,0.8,0.8,8.0,8.0
101204,1,1.93,1.93,20.0,20.0
101218,2,0.98,0.49,9.0,4.5
101219,1,1.05,1.05,11.0,11.0
101230,4,4.09,1.02,45.0,11.25
101233,1,1.14,1.14,7.0,7.0
101241,1,0.91,0.91,8.0,8.0
101242,1,0.58,0.58,4.0,4.0
101246,1,1.69,1.69,11.0,11.0
101252,1,0.66,0.66,8.0,8.0
101254,1,0.66,0.66,6.0,6.0
101260,1,2.62,2.62,17.0,17.0
101267,1,1.52,1.52,9.0,9.0
101268,1,1.21,1.21,12.0,12.0
101272,2,1.34,0.67,12.0,6.0
101276,1,0.66,0.66,17.0,17.0
101280,4,3.51,0.88,37.0,9.25
101281,2,3.48,1.74,37.0,18.5
101282,1,1.3,1.3,16.0,16.0
