userid,R,F,M,R_SC,F_SC,M_SC
185,3,7,10.31,-0.2168445457661492,0.27215007937482477,0.13699025694080275
186,8,2,8.37,0.7316958382554847,-1.1663039279150031,-0.16451683516465668
187,0,6,6.59,-0.7859687761791295,-0.01554072208314083,-0.44115736297275837
188,0,7,14.9,-0.7859687761791295,0.27215007937482477,0.850349820221245
189,3,8,8.7,-0.2168445457661492,0.5598408808327904,-0.11322954630135691
190,5,1,3.19,0.16257160784250435,-1.4539947293729687,-0.9695718542916045
193,15,1,3.44,2.059652375885772,-1.4539947293729687,-0.9307178475769835
194,1,8,19.16,-0.5962606993748027,0.5598408808327904,1.5124220946383873
195,1,2,3.16,-0.5962606993748027,-1.1663039279150031,-0.9742343350973589
196,1,4,9.82,-0.5962606993748027,-0.590922324999072,0.06083640378014548
197,1,7,16.96,-0.5962606993748027,0.27215007937482477,1.1705068355497223
198,0,4,4.47,-0.7859687761791295,-0.590922324999072,-0.7706393399127448
199,0,2,4.97,-0.7859687761791295,-1.1663039279150031,-0.6929313264835026
200,3,8,11.4,-0.2168445457661492,0.5598408808327904,0.3063937262165504
201,4,3,7.78,-0.027136468961822417,-0.8786131264570376,-0.25621229101116216
202,1,6,7.01,-0.5962606993748027,-0.01554072208314083,-0.37588263169219505
203,0,1,0.67,-0.7859687761791295,-1.4539947293729687,-1.3612202419749844
204,3,3,2.42,-0.2168445457661492,-0.8786131264570376,-1.0892421949726372
205,3,4,4.7,-0.2168445457661492,-0.590922324999072,-0.7348936537352934
206,2,11,21.94,-0.406552622570476,1.422913285206687,1.9444786493049735
207,3,15,35.02,-0.2168445457661492,2.5736764910385492,3.9773202806139465
208,9,8,9.94,0.9214039150598115,0.5598408808327904,0.07948632700316346
209,0,7,21.28,-0.7859687761791295,0.27215007937482477,1.8419040715783739
210,10,5,5.61,1.1111119918641383,-0.3032315235411064,-0.5934650692940727
211,4,14,17.56,-0.027136468961822417,2.285985689580584,1.2637564516648125
212,15,3,7.76,2.059652375885772,-0.8786131264570376,-0.2593206115483319
213,2,5,7.98,-0.406552622570476,-0.3032315235411064,-0.22512908563946532
214,0,8,10.93,-0.7859687761791295,0.5598408808327904,0.2333481935930628
215,0,10,22.92,-0.7859687761791295,1.1352224837487215,2.096786355626288
216,3,9,15.43,-0.2168445457661492,0.8475316822907559,0.9327203144562415
217,15,9,19.94,2.059652375885772,0.8475316822907559,1.633646595588005
218,0,10,19.87,-0.7859687761791295,1.1352224837487215,1.6227674737079112
219,6,8,6.19,0.3522796846468311,0.5598408808327904,-0.5033237737161519
220,7,1,1.13,0.5419877614511579,-1.4539947293729687,-1.289728869620082
221,0,5,6.52,-0.7859687761791295,-0.3032315235411064,-0.4520364848528523
222,5,5,8.15,0.16257160784250435,-0.3032315235411064,-0.19870836107352302
224,12,2,1.01,1.4905281454727919,-1.1663039279150031,-1.3083787928430999
225,0,5,6.48,-0.7859687761791295,-0.3032315235411064,-0.45825312592719153
226,0,13,20.25,-0.7859687761791295,1.9982948881226184,1.681825563914135
227,5,2,2.86,0.16257160784250435,-1.1663039279150031,-1.0208591431549043
228,0,9,13.58,-0.7859687761791295,0.8475316822907559,0.6452006647680458
229,15,1,6.36,2.059652375885772,-1.4539947293729687,-0.47690304915020965
230,2,1,0.58,-0.406552622570476,-1.4539947293729687,-1.375207684392248
231,11,4,11.44,1.300820068668465,-0.590922324999072,0.31261036729088965
232,1,5,14.0,-0.5962606993748027,-0.3032315235411064,0.7104753960486091
233,10,4,5.54,1.1111119918641383,-0.590922324999072,-0.6043441911741667
234,4,7,9.12,-0.027136468961822417,0.27215007937482477,-0.04795481502079358
235,2,5,4.1,-0.406552622570476,-0.3032315235411064,-0.8281432698503839
236,7,2,3.54,0.5419877614511579,-1.1663039279150031,-0.9151762448911349
237,0,2,2.39,-0.7859687761791295,-1.1663039279150031,-1.0939046757783917
238,4,4,6.67,-0.027136468961822417,-0.590922324999072,-0.42872408082407965
239,3,8,10.9,-0.2168445457661492,0.5598408808327904,0.22868571278730837
240,4,5,6.94,-0.027136468961822417,-0.3032315235411064,-0.3867617535722888
241,1,5,10.32,-0.5962606993748027,-0.3032315235411064,0.13854441720938757
242,0,6,6.17,-0.7859687761791295,-0.01554072208314083,-0.5064320942533217
243,11,1,0.97,1.300820068668465,-1.4539947293729687,-1.314595433917439
244,0,5,5.91,-0.7859687761791295,-0.3032315235411064,-0.5468402612365275
245,0,11,13.87,-0.7859687761791295,1.422913285206687,0.6902713125570061
246,3,4,7.55,-0.2168445457661492,-0.590922324999072,-0.2919579771886136
247,4,7,18.74,-0.027136468961822417,0.27215007937482477,1.4471473633578238
248,0,2,3.9,-0.7859687761791295,-1.1663039279150031,-0.8592264752220806
249,2,2,1.22,-0.406552622570476,-1.1663039279150031,-1.275741427202818
250,6,9,18.49,0.3522796846468311,0.8475316822907559,1.4082933566432028
251,2,1,2.69,-0.406552622570476,-1.4539947293729687,-1.0472798677208466
252,3,1,1.49,-0.2168445457661492,-1.4539947293729687,-1.2337790999510274
253,2,5,4.49,-0.406552622570476,-0.3032315235411064,-0.767531019375575
254,6,6,9.32,0.3522796846468311,-0.01554072208314083,-0.016871609649096588
256,0,3,4.2,-0.7859687761791295,-0.8786131264570376,-0.8126016671645354
257,9,3,2.45,0.9214039150598115,-0.8786131264570376,-1.0845797141668827
258,3,4,9.45,-0.2168445457661492,-0.590922324999072,0.003332473842506196
259,4,3,2.93,-0.027136468961822417,-0.8786131264570376,-1.0099800212748102
260,14,2,2.95,1.8699442990814454,-1.1663039279150031,-1.0068717007376407
261,2,5,4.36,-0.406552622570476,-0.3032315235411064,-0.787735102867178
262,3,3,4.39,-0.2168445457661492,-0.8786131264570376,-0.7830726220614235
263,0,2,1.34,-0.7859687761791295,-1.1663039279150031,-1.2570915039798
264,0,2,2.86,-0.7859687761791295,-1.1663039279150031,-1.0208591431549043
265,0,12,13.05,-0.7859687761791295,1.7106040866646526,0.5628301705330493
266,3,4,8.85,-0.2168445457661492,-0.590922324999072,-0.08991714227258424
267,0,4,5.77,-0.7859687761791295,-0.590922324999072,-0.5685985049967154
268,0,6,9.49,-0.7859687761791295,-0.01554072208314083,0.009549114916845706
269,1,12,19.87,-0.5962606993748027,1.7106040866646526,1.6227674737079112
