userid,recency(day),frequency(次),total_distance(km),total_duration(min),avg_duration(min),avg_speed(km/h)
99,5,2,7.92,60.0,30.0,7.93
100,0,4,9.06,70.0,17.5,8.6
101,1,5,5.15,101.0,20.2,3.31
102,3,2,3.99,53.0,26.5,5.98
103,0,9,11.48,124.0,13.78,5.7
104,4,1,1.49,13.0,13.0,6.87
105,7,6,13.01,127.0,21.17,6.33
106,3,11,17.08,180.0,16.36,6.1
107,0,8,8.44,82.0,10.25,6.23
108,1,8,15.82,122.0,15.25,7.64
109,3,10,18.12,172.0,17.2,6.82
110,2,7,15.02,161.0,23.0,6.04
111,1,8,19.57,164.0,20.5,7.54
112,4,4,5.61,88.0,22.0,5.14
113,3,6,9.72,76.0,12.67,7.73
114,0,8,11.2,101.0,12.62,7.14
115,0,11,20.16,206.0,18.73,6.14
116,8,1,0.78,10.0,10.0,4.7
117,1,7,7.27,124.0,17.71,4.57
118,3,3,2.7,19.0,6.33,8.97
119,0,4,10.28,93.0,23.25,6.82
120,15,4,4.29,53.0,13.25,7.49
121,5,3,5.57,50.0,16.67,6.32
122,2,12,15.7,146.0,12.17,6.86
123,2,12,15.74,173.0,14.42,5.87
124,2,12,21.05,213.0,17.75,6.05
125,0,14,17.8,201.0,14.36,6.43
126,19,6,5.68,99.0,16.5,4.77
127,2,2,1.44,15.0,7.5,6.34
128,21,6,4.84,69.0,11.5,6.96
129,5,5,3.27,46.0,9.2,4.49
130,16,3,3.61,28.0,9.33,8.57
131,8,6,8.19,99.0,16.5,6.08
132,6,6,8.29,85.0,14.17,5.9
133,18,4,4.81,67.0,16.75,4.15
134,1,9,9.62,99.0,11.0,6.42
135,5,11,10.43,111.0,10.09,7.25
136,0,7,8.62,85.0,12.14,6.2
137,3,9,15.42,179.0,19.89,6.59
138,0,2,2.7,28.0,14.0,5.0
139,18,3,7.02,96.0,32.0,4.3
140,0,11,16.12,131.0,11.91,6.98
141,1,5,12.41,87.0,17.4,9.16
142,7,13,18.4,173.0,13.31,7.01
143,4,6,9.32,109.0,18.17,5.24
144,4,7,11.34,104.0,14.86,6.51
145,9,7,8.42,120.0,17.14,6.74
146,0,6,6.39,64.0,10.67,7.46
147,27,1,4.98,43.0,43.0,6.95
148,8,7,8.35,84.0,12.0,6.68
149,0,8,10.95,88.0,11.0,7.66
150,0,6,15.68,115.0,19.17,7.86
