userid,recency(day),frequency(次),total_distance(km),R_SC,F_SC,M_SC,cluster,level
13964,3,2,11.22,-0.2168445457661492,-1.1663039279150031,0.2784188413820233,2,A
13965,0,7,6.89,-0.7859687761791295,0.2721500793748247,-0.3945325549152131,2,A
13966,1,5,7.21,-0.5962606993748027,-0.3032315235411064,-0.3447994263204982,2,A
13967,0,6,6.15,-0.7859687761791295,-0.0155407220831408,-0.5095404147904913,2,A
13968,0,4,12.84,-0.7859687761791295,-0.590922324999072,0.5301928048927675,2,A
13969,5,2,2.17,0.1625716078425043,-1.1663039279150031,-1.1280962016872582,2,A
13971,3,4,6.08,-0.2168445457661492,-0.590922324999072,-0.5204195366705853,2,A
13972,1,10,25.95,-0.5962606993748027,1.1352224837487217,2.5676969170074946,0,S
13973,0,4,4.31,-0.7859687761791295,-0.590922324999072,-0.7955059042101023,2,A
13974,2,5,3.54,-0.406552622570476,-0.3032315235411064,-0.9151762448911348,2,A
13975,2,5,4.17,-0.406552622570476,-0.3032315235411064,-0.81726414797029,2,A
13976,2,3,3.74,-0.406552622570476,-0.8786131264570376,-0.8840930395194381,2,A
13977,2,4,4.68,-0.406552622570476,-0.590922324999072,-0.7380019742724631,2,A
13978,11,3,2.13,1.300820068668465,-0.8786131264570376,-1.1343128427615976,1,B
13979,3,5,5.96,-0.2168445457661492,-0.3032315235411064,-0.5390694598936033,2,A
13980,0,6,6.37,-0.7859687761791295,-0.0155407220831408,-0.4753488888816248,2,A
13981,3,3,4.11,-0.2168445457661492,-0.8786131264570376,-0.826589109581799,2,A
13982,3,6,8.74,-0.2168445457661492,-0.0155407220831408,-0.1070129052270174,2,A
13983,4,3,4.86,-0.0271364689618224,-0.8786131264570376,-0.7100270894379359,2,A
13984,5,2,1.91,0.1625716078425043,-1.1663039279150031,-1.168504368670464,2,A
13985,1,3,2.56,-0.5962606993748027,-0.8786131264570376,-1.0674839512124494,2,A
13986,6,3,1.62,0.3522796846468311,-0.8786131264570376,-1.2135750164594246,2,A
13987,2,6,6.91,-0.406552622570476,-0.0155407220831408,-0.3914242343780434,2,A
13988,3,7,7.67,-0.2168445457661492,0.2721500793748247,-0.2733080539655955,2,A
13989,9,4,3.86,0.9214039150598116,-0.590922324999072,-0.8654431162964201,1,B
13990,2,2,1.29,-0.406552622570476,-1.1663039279150031,-1.2648623053227244,2,A
13991,12,1,2.04,1.490528145472792,-1.4539947293729687,-1.1483002851788613,1,B
13992,8,2,2.25,0.7316958382554847,-1.1663039279150031,-1.1156629195385794,2,A
13993,0,6,7.04,-0.7859687761791295,-0.0155407220831408,-0.3712201508864404,2,A
13994,6,1,0.31,0.3522796846468311,-1.4539947293729687,-1.4171700116440389,2,A
13995,0,7,9.73,-0.7859687761791295,0.2721500793748247,0.0468489613628819,2,A
13996,1,7,9.55,-0.5962606993748027,0.2721500793748247,0.0188740765283548,2,A
13997,4,2,2.53,-0.0271364689618224,-1.1663039279150031,-1.072146432018204,2,A
13998,4,3,5.51,-0.0271364689618224,-0.8786131264570376,-0.6090066719799212,2,A
13999,2,2,2.9,-0.406552622570476,-1.1663039279150031,-1.0146425020805647,2,A
